Point,Sample ID Lab,Horizon,Observational Method,Potential Series (in progress),To Depth (cm),H Depth(cm),Boundary (Bnd),Matrix Color,Clay,Sand,Silt,"Lab Texture (LPSA, preliminary)",Txt Rep?,Field Texture,Field Clay %,Structure,Consistence,Notes,Date Sampled,Depth to water table (if known),Taxonomy,Charcoal Present?,Depletions,Concentrations,htm,intermingle body,plinthitic,Buried,AB,AE,BA,BC,BE,textureimp?
38,250479,Ap,Probe,,0-26,26,A,10YR4/3,6.25,82.1,11.65,LS,,,,1MGr,,fine roots,4/30/2025,,,,,,,,,,,,,,,0
38,250480,Bt1,Probe,,26-41,15,C,5YR4/6,44.2,43.6,12.2,C,,,,2MSBK,,fine roots,4/30/2025,,,,,,,,,,,,,,,0
38,250481,Bt2,Probe,,41-69,28,Gr,2.5YR4/8,59,30.7,10.3,C,,,,2MSBK,,"large root pores, fine roots",4/30/2025,,,,,,,,,,,,,,,0
38,250482,Bt3,Probe/Auger,,69-111,42,Gr,2.5YR3/6,96.25,3.025,0.725,C,,,,2CoSBK,,"large root pores, fine roots",4/30/2025,,,,,,,,,,,,,,,0
38,250483,Bt4,Auger,,111-150+,39,,2.5YR3/6,100,0,0,C,,,,2CoSBK,,"large  roots, common",4/30/2025,,,,,,,,,,,,,,,0
16,250484,Ap,Probe,,0-30,30,A,10YR3/4,4.7,87.4,7.9,S,,,,1MGr,,,4/30/2025,,,,,,,,,,,,,,,1
16,250485,Bw,Probe,,30-66,36,A,10YR4/6,7.55,83.2,9.25,LS,,,,1MSBK,,stripped sand,4/30/2025,,,,,,,,,,,,,,,1
16,250486,Ab,Probe,,66-83,17,A,10YR4/6,7.51,81.2,11.29,LS,,,,1MSBK,,"50% 10YR3/2, stratified organic stains.",4/30/2025,,,,,,,,,Yes,,,,,,1
16,250487,Bwb,Probe/Auger,,83-155,72,C,10YR7/4,6.03,85.5,8.47,LS,,,,1MSBK,,stripped sand grains + organic stains,4/30/2025,,,,,,,,,Yes,,,,,,1
16,250488,C,Auger,,155-180+,25,,10YR5/8,4.33,90.3,5.37,S,,,,SRSSG,,,4/30/2025,,,,,,,,,,,,,,,1
37,250489,Ap,Probe,,0-17,17,C,7.5YR4/4,6.97,84.2,8.83,LS,,,,1MGr,,very fine roots,4/30/2025,,,,,,,,,,,,,,,0
